utterance_id,condition,speaker_cosine_to_original,similarity,saved_wav_minus_prior
2277-149896-0000,pitch_-3,0.1267004460096359,0.12695902585983276,0.00025857985019686613
2277-149896-0000,pitch_+3,0.2295060008764267,0.2290775328874588,-0.0004284679889678955
2277-149896-0001,pitch_-3,0.1717818975448608,0.17157918214797974,-0.00020271539688107576
2277-149896-0001,pitch_+3,0.2061129212379455,0.20560240745544434,-0.0005105137825011652
2277-149896-0002,pitch_-3,0.1795072853565216,0.17963151633739471,0.0001242309808731079
2277-149896-0002,pitch_+3,0.2495302557945251,0.249923437833786,0.00039318203926091977
2277-149896-0003,pitch_-3,0.1590635180473327,0.15903522074222565,-2.8297305107061188e-05
2277-149896-0003,pitch_+3,0.1250342279672622,0.12519890069961548,0.00016467273235326596
2277-149896-0004,pitch_-3,0.0956743061542511,0.09502522647380829,-0.0006490796804428101
2277-149896-0004,pitch_+3,0.1967347115278244,0.19672654569149017,-8.165836334228516e-06
2035-147960-0000,pitch_-3,0.174839898943901,0.17495319247245789,0.00011329352855687924
2035-147960-0000,pitch_+3,0.35734623670578,0.3569739758968353,-0.00037226080894464664
2035-147960-0001,pitch_-3,0.1749971508979797,0.17471632361412048,-0.0002808272838592252
2035-147960-0001,pitch_+3,0.3465831279754638,0.34650304913520813,-8.00788402556818e-05
2035-147960-0002,pitch_-3,0.2276749610900879,0.22778184711933136,0.00010688602924346924
2035-147960-0002,pitch_+3,0.5025215744972229,0.5027590394020081,0.00023746490478515625
2035-147960-0003,pitch_-3,0.1500250846147537,0.1498149186372757,-0.0002101659774779996
2035-147960-0003,pitch_+3,0.4612598717212677,0.46145936846733093,0.00019949674606323242
2035-147960-0004,pitch_-3,0.2114262580871582,0.21175074577331543,0.00032448768615722656
2035-147960-0004,pitch_+3,0.3947174251079559,0.3946302533149719,-8.717179298395328e-05
2086-149214-0000,pitch_-3,0.2745268046855926,0.27439868450164795,-0.00012812018394464664
2086-149214-0000,pitch_+3,0.3094506859779358,0.30898791551589966,-0.0004627704620361328
2086-149214-0001,pitch_-3,0.3195948302745819,0.31967830657958984,8.347630500793457e-05
2086-149214-0001,pitch_+3,0.2719881236553192,0.2718527019023895,-0.0001354217529296875
2086-149214-0002,pitch_-3,0.3541908860206604,0.35422417521476746,3.3289194107055664e-05
2086-149214-0002,pitch_+3,0.2383277416229248,0.23844420909881592,0.00011646747589111328
2086-149214-0003,pitch_-3,0.2875477075576782,0.28709232807159424,-0.0004553794860839844
2086-149214-0003,pitch_+3,0.2143415510654449,0.21433334052562714,-8.210539817754547e-06
2086-149214-0004,pitch_-3,0.3951356709003448,0.39558398723602295,0.0004483163356781561
2086-149214-0004,pitch_+3,0.3068719208240509,0.30699044466018677,0.00011852383613586426
7976-110124-0000,pitch_-3,0.2036521583795547,0.20433709025382996,0.000684931874275263
7976-110124-0000,pitch_+3,0.1402698457241058,0.14067625999450684,0.00040641427040102873
7976-110124-0001,pitch_-3,0.1753258854150772,0.1747705191373825,-0.0005553662776947021
7976-110124-0001,pitch_+3,0.1032055839896202,0.10313230007886887,-7.32839107513289e-05
7976-110124-0002,pitch_-3,0.2359022945165634,0.23575615882873535,-0.0001461356878280362
7976-110124-0002,pitch_+3,0.2123718857765197,0.21246883273124695,9.694695472725612e-05
7976-110124-0003,pitch_-3,0.1444000899791717,0.14437434077262878,-2.574920654291324e-05
7976-110124-0003,pitch_+3,0.159509003162384,0.15937857329845428,-0.00013042986392972078
7976-110124-0004,pitch_-3,0.1456021666526794,0.14573241770267487,0.00013025104999547787
7976-110124-0004,pitch_+3,0.0997473150491714,0.09952326118946075,-0.00022405385971065173
1988-147956-0000,pitch_-3,0.1645451635122299,0.1642836481332779,-0.0002615153789519986
1988-147956-0000,pitch_+3,0.2410490661859512,0.2411694973707199,0.00012043118476870451
1988-147956-0001,pitch_-3,0.131999522447586,0.13195419311523438,-4.532933235162906e-05
1988-147956-0001,pitch_+3,0.3195570707321167,0.3196638226509094,0.00010675191879272461
1988-147956-0002,pitch_-3,0.0385234281420707,0.03911563754081726,0.0005922093987465599
1988-147956-0002,pitch_+3,0.1009121537208557,0.10149237513542175,0.0005802214145660539
1988-147956-0003,pitch_-3,0.1627868264913559,0.16232174634933472,-0.0004650801420211792
1988-147956-0003,pitch_+3,0.2524086833000183,0.25254005193710327,0.00013136863708496094
1988-147956-0004,pitch_-3,0.146237701177597,0.1463550180196762,0.00011731684207921811
1988-147956-0004,pitch_+3,0.2896216511726379,0.2898164391517639,0.00019478797912603207
